suspected_disease,query,target_count
열성경련,아이 고열 응급실 증상,30
열성경련,경련 응급실 증상,30
열성경련,발작 응급실 증상,30
열성경련,의식 응급실 증상,30
열성경련,반복 응급실 증상,30
열성경련,열성경련 증상 응급,30
영아 호흡곤란,아기 응급실 증상,30
영아 호흡곤란,숨참 응급실 증상,30
영아 호흡곤란,쌕쌕 응급실 증상,30
영아 호흡곤란,청색증 응급실 증상,30
영아 호흡곤란,수유곤란 응급실 증상,30
영아 호흡곤란,영아 호흡곤란 증상 응급,30
소아 탈수,아이 설사 응급실 증상,30
소아 탈수,구토 응급실 증상,30
소아 탈수,소변감소 응급실 증상,30
소아 탈수,눈물없음 응급실 증상,30
소아 탈수,축 처짐 응급실 증상,30
소아 탈수,소아 탈수 증상 응급,30
임신 중 복통출혈,임신 응급실 증상,30
임신 중 복통출혈,복통 응급실 증상,30
임신 중 복통출혈,질출혈 응급실 증상,30
임신 중 복통출혈,어지럼 응급실 증상,30
임신 중 복통출혈,태동감소 응급실 증상,30
임신 중 복통출혈,임신 중 복통출혈 증상 응급,30
자궁외임신 의심,임신초기 응급실 증상,30
자궁외임신 의심,아랫배통증 응급실 증상,30
자궁외임신 의심,질출혈 응급실 증상,30
자궁외임신 의심,어지럼 응급실 증상,30
자궁외임신 의심,실신 응급실 증상,30
자궁외임신 의심,자궁외임신 의심 증상 응급,30
분만 임박,진통 응급실 증상,30
분만 임박,양수 응급실 증상,30
분만 임박,출산 응급실 증상,30
분만 임박,규칙적 통증 응급실 증상,30
분만 임박,임신 응급실 증상,30
분만 임박,분만 임박 증상 응급,30
자살위험,자살 응급실 증상,30
자살위험,죽고싶다 응급실 증상,30
자살위험,약 먹음 응급실 증상,30
자살위험,자해 응급실 증상,30
자살위험,유서 응급실 증상,30
자살위험,자살위험 증상 응급,30
공황발작,공황 응급실 증상,30
공황발작,숨막힘 응급실 증상,30
공황발작,두근거림 응급실 증상,30
공황발작,죽을 것 같음 응급실 증상,30
공황발작,불안 응급실 증상,30
공황발작,공황발작 증상 응급,30
섬망 의심,갑자기 이상행동 응급실 증상,30
섬망 의심,혼돈 응급실 증상,30
섬망 의심,고령 응급실 증상,30
섬망 의심,의식변화 응급실 증상,30
섬망 의심,환각 응급실 증상,30
섬망 의심,섬망 의심 증상 응급,30
눈 화학손상,락스 눈 응급실 증상,30
눈 화학손상,화학물질 눈 응급실 증상,30
눈 화학손상,눈 통증 응급실 증상,30
눈 화학손상,시야 이상 응급실 증상,30
눈 화학손상,세척 응급실 증상,30
눈 화학손상,눈 화학손상 증상 응급,30
망막박리 의심,번쩍임 응급실 증상,30
망막박리 의심,날파리 응급실 증상,30
망막박리 의심,시야 가림 응급실 증상,30
망막박리 의심,갑작스런 시력저하 응급실 증상,30
망막박리 의심,커튼 응급실 증상,30
망막박리 의심,망막박리 의심 증상 응급,30
각막손상,눈 찔림 응급실 증상,30
각막손상,이물감 응급실 증상,30
각막손상,통증 응급실 증상,30
각막손상,눈물 응급실 증상,30
각막손상,시야흐림 응급실 증상,30
각막손상,각막손상 증상 응급,30
기도 이물,목에 걸림 응급실 증상,30
기도 이물,음식물 응급실 증상,30
기도 이물,말 못함 응급실 증상,30
기도 이물,기침 못함 응급실 증상,30
기도 이물,청색증 응급실 증상,30
기도 이물,기도 이물 증상 응급,30
식도 이물,삼킴곤란 응급실 증상,30
식도 이물,생선가시 응급실 증상,30
식도 이물,목통증 응급실 증상,30
식도 이물,침흘림 응급실 증상,30
식도 이물,흉통 응급실 증상,30
식도 이물,식도 이물 증상 응급,30
아나필락시스,두드러기 응급실 증상,30
아나필락시스,입술부음 응급실 증상,30
아나필락시스,숨참 응급실 증상,30
아나필락시스,어지럼 응급실 증상,30
아나필락시스,벌쏘임 응급실 증상,30
아나필락시스,아나필락시스 증상 응급,30
혈관부종,입술부음 응급실 증상,30
혈관부종,혀부음 응급실 증상,30
혈관부종,목조임 응급실 증상,30
혈관부종,약물 응급실 증상,30
혈관부종,알레르기 응급실 증상,30
혈관부종,혈관부종 증상 응급,30
저체온증,추위노출 응급실 증상,30
저체온증,떨림 응급실 증상,30
저체온증,의식저하 응급실 증상,30
저체온증,체온저하 응급실 증상,30
저체온증,젖은 옷 응급실 증상,30
저체온증,저체온증 증상 응급,30
열사병,더위 응급실 증상,30
열사병,고온 응급실 증상,30
열사병,의식혼란 응급실 증상,30
열사병,고열 응급실 증상,30
열사병,땀 안남 응급실 증상,30
열사병,열사병 증상 응급,30
일산화탄소중독,연탄 응급실 증상,30
일산화탄소중독,보일러 응급실 증상,30
일산화탄소중독,두통 응급실 증상,30
일산화탄소중독,어지럼 응급실 증상,30
일산화탄소중독,여러명 증상 응급실 증상,30
일산화탄소중독,일산화탄소중독 증상 응급,30
화학물질중독,락스 응급실 증상,30
화학물질중독,농약 응급실 증상,30
화학물질중독,세제 응급실 증상,30
화학물질중독,흡입 응급실 증상,30
화학물질중독,구토 응급실 증상,30
화학물질중독,화학물질중독 증상 응급,30
알코올중독,술 응급실 증상,30
알코올중독,의식저하 응급실 증상,30
알코올중독,구토 응급실 증상,30
알코올중독,호흡느림 응급실 증상,30
알코올중독,만취 응급실 증상,30
알코올중독,알코올중독 증상 응급,30
